,body,clusters_0,sentiment_positive_score,sentiment_negative_score,sentiment_combined_score,sentiment_summary,published_date,post_type,total_engagement,comments,shares,likes,author_gender,followers
408,"Nuclear's always allowed flexible operation, with some decent steam dump, but it has made no economic sense in a fossil grid. High capital cost/low running cost nuclear needs to run at 100% 24/7 to make money UNLESS it gets paid to be responsive/flexible. It's a money problem.",Cost of Living,4.569539677,1.99482945,0.482280325,positive,2021-08-21,Original,2,0,1,1,Male,661
714,"This has nothing to do with demonising NHS workers, lambasting 1% wage increases, or subtle racism, as some in the replies have suggested. It’s about morals! It doesn’t matter how tired, broke or hungry you are, you just wouldn’t do this.",House Prices,3.14736428,4.352636026,-0.670789869,negative,2021-06-10,Original,3,0,0,3,Male,1195
407,Making the poor pay for the green agenda. I'm not even anti green per say; but the idea the burden should be put on the people who can ill afford to carry that burden is gross in my opinion.,Rich People,1.318853056,4.031184168,-1.463871299,negative,2021-07-02,Original,1,0,0,1,Unknown,778
406,"Absolutely disgusting behaviour by ,. Those paying minimum amounts struggle to pay off debt & to increase their min payments amounts to corporate manslaughter. Many people will suffer greater financial difficulties & this is definitely NOT treating customers fairly.",Minimum Wage Increase,3.14736428,4.352636026,-0.670789869,negative,2020-12-20,Original,2,1,0,1,Female,1248
405,"""The idea that the state cannot “afford” a bigger pay rise...is nonsense. It is plainly a matter of political choice."" Lots of this is complicated. More so as the DHSC paper is...weird...in places. But the support from press and public in the last day is reassuring.",Poor People,2.236686373,3.33200916,-0.745153591,negative,2021-03-05,Original,2,0,0,2,Male,1430
404,"Not a bad start to be fair, put the graft in and hopefully it pays off, first 100 subs boxed ✅",Income Tax,7.00638921,2.307992848,0.763870637,positive,2021-01-16,Original,1,0,0,1,Male,1602
403,"If increased wages for supply chain workers is an outcome of Brexit then that would at least be one positive outcome. However, I fear it won't happen because most wealthy business and political leaders would rather bring back slavery than increase workers' wages.",Small Businesses,1.025774599,3.135365464,-1.463871299,negative,2021-10-01,Original,1,0,0,1,Male,1736
402,"Saw Picasso's The Frugal Meal this week at the Whitworth Gallery and tried to imagine the kind of human who looks at Britain's endemic child malnutrition, then votes to cut support for the working poor by 25% to £59/week as prices rocket, and moans their £82,000 salary is 'grim'. ,",Poor Pay,2.396274244,3.769610947,-0.799630257,negative,2021-10-10,Original,6,0,1,5,Female,2569
401,The Tories have it ingrained in their small minds that any increase in benefits will encourage the workshy. What should concern them is the fact that many employers pay so badly that much of the benefits budget goes to people who are in work but can't live on their wages.,Government Support,3.32962267,1.73781009,0.303659643,neutral,2021-09-01,Original,8,0,2,6,Male,3222
400,"☕️291 workers at DouweEgberts at Banbury, Oxfordshire have been threatened with this. Wages will be cut by up to £12,000 a year, badly affecting people with rents, mortgages & rising living costs. The final salary pension scheme is being ended. 📕 More: , ,",Cost of Living,1.277755617,5.015538612,-1.714009291,negative,2021-06-14,Original,13,0,5,8,Unknown,3387
399,"The pandemic left over a quarter of UK adults with low financial resilience according to , financial lives survey. Falling or unsteady incomes also mean many people can't access mainstream credit if they need it. But community development finance providers help ⬇️⬇️ #10xRF",State Pension,2.891547309,2.992244175,-0.380805496,negative,2021-05-18,Original,9,1,1,7,Unknown,3570
398,"After this sorry excuse for a UK Government imposes their Brexit on us, they further drive in the dagger with food shortages, tax rises, utility bill rises, food bills going through the roof, instead of giving people a basic income, they are taking money away",Pay Rises,2.891547309,4.349932426,-0.754942141,negative,2021-09-15,Original,17,1,6,10,Female,3662
417,"This won't be popular, but I don't care. If the NHS staff decided to strike because they're not happy with a pay rise (working in private sector, I don't know what one of those is unless it's been through promotion) I will lose every ounce of compassion and empathy for them.",Social Care,1.863768857,5.470777439,-1.42339362,negative,2021-03-05,Original,0,0,0,0,Male,206
418,"25,000 police officers cut since 2010. NHS real term pay cuts at around a third. Education funding down by £7bn since 2011, including hitting the poorest pupils at over £220m Food bank use up 3,800% since 2010 127,598 dead from Covid. So far. “Levelling up” Fuck. Right. Off.",Wage Growth,2.843600297,4.44582645,-0.793468411,negative,2021-05-08,Original,0,0,0,0,Male,188
419,"Despite the fact I’ve worked harder than I ever have to keep learning as normal as possible, I won’t get a pay rise this year. edutwitter We deserve better.",Poor Pay,4.715506376,1.277755617,0.959177602,positive,2021-02-17,Original,0,0,0,0,Female,119
420,"Mandating vaccination. Care home owners say they’re short staffed already and can’t afford lose any more. We know two reasons for this poor pay and Brexit. So instead of leaving the cared for at risk, so something about the supply of staff. The Union suggests more education????",Social Care,4.797701254,1.318853056,0.944800846,positive,2021-06-16,Original,0,0,0,0,Male,99
103,"Bollocks. Uv plenty of other things u can halt. High speed train.??? Stop that mess. Keep public servants paid or ur asking for trouble. I have a bad cough. Don’t feel too good 😌 cough cough. Who cares how long it takes to recover. Bank recovery cost more and longer ,",Government Support,3.0269297,3.139400558,-0.383056661,negative,2020-11-22,Original,0,0,0,0,Unknown,109
104,"So is , gonna help folk pay for these new ElectricVehicles? It's hard enough for some to buy a 10 Yr old banger to get to work never mind a brand new electric car! Another idea by the wealthy for the wealthy DowningStreetBoysClub PunishThePoor #",Government Support,3.428318857,1.538661899,0.45458328,positive,2020-11-18,Original,0,0,0,0,Unknown,108
105,Facts won't convince the faithful. Who would ever have believed the number of low paid working voters could be fooled to believe a bunch of privileged Eton bullshi**ers would help them more than a party based on communal good?,Low Income Families,2.517891424,1.949679552,-0.090816802,neutral,2021-07-07,Original,0,0,0,0,Male,105
106,The Tory government have systematically persecuted the Unemployed Disabled Sick The Poor Pensioners Low paid workers Now they are going after Children’s Rights.THE UK Government may challenge a Scottish bill aimed at improving children’s rights in court. ChildrensRights,State Pension,4.196485707,4.397879438,-0.393448631,negative,2021-03-25,Original,1,0,0,1,Unknown,97
107,"Latest on Humanosity Income inequality is one of the biggest & most pressing economic challenges of our times. Tax cuts have been touted as a surefire method to inspire growth. Now, a new study has found that tax cuts for the rich may make matters worse , ,",Wage Growth,1.788857864,5.162382497,-1.406394436,negative,2020-12-17,Original,0,0,0,0,Unknown,72
108,"Don't tell those bullied and harassed out of jobs to make more effort to fit with an abusive system and mentally deranged people, don't tell low income flexible working parents & guardians to put more effort in,",Poor Pay,4.978246434,3.533156595,-0.003687574,neutral,2021-08-26,Original,1,1,0,0,Female,25
109,BREAKING Irish lowcost airline Ryanair loses its attempt in an EU court to block massive public bailouts of rival c... AFP | livetube 🔴 On the scene | More information? Send us a livestream and get paid. GO LIVE CLICK 👉 livetube.app,Public Sector Pay,1.788857864,5.33499174,-1.439283575,negative,2021-02-17,Original,0,0,0,0,Unknown,15
110,"As my MP , I am calling on you to ensure every care and health worker receives a proper living wage and salary increases at least in line with inflation as they fight Covid 19 on our behalf ThunderclapForCarers clapforcarers",Poor Pay,5.093319263,3.590693009,0.00301092,neutral,2021-01-07,Original,6,0,1,5,Female,13
111,This Brexit will only serve the wealthy who have all their money offshore! You wait and see we will now have hiked up prices for EVERYTHING and low wages! So the rich & poor divide will be massive!,Rich People,4.100591683,1.538661899,0.633644544,positive,2020-12-13,Original,0,0,0,0,Unknown,9
707,"Poor old mick has lost it his jag has lost the edge pushing experimental vaccines proves he is standing on the ledge wild horses wouldn't drag him to a freedom protest true but who with any brain cells would pay to watch a shrew , vernoncoleman.org",Poor Pay,2.132700223,4.352636026,-1.059966348,negative,2021-09-26,Original,8,1,2,5,Female,9419
397,"1980 to 2020 US Average wage increase by 0.72% per year UK Average wage increased by 0.42% a year Millionaires & billionaires have profited from mass death & scarcity globally, markets in a crisis always feed a rich man for his dogs before a poor mother for her kids TaxTheRich",State Pension,2.307992848,6.668739675,-1.407626228,negative,2021-03-18,Original,6,1,1,4,Unknown,3881
934,"What the , really doesn't need is a commissioner who thinks the pay gap is women's fault because of choices they make, that page 3 was a great source of employment for women, and that MeToo was all a bit mean to men. Good work , ,",Gender Pay Gap,4.057077648,1.277755617,0.808784218,positive,2020-11-22,Original,976,45,212,719,Female,2696
931,"If you're angry because nurses have been given a (paltry) 1% pay rise and you haven't received anything: 1) Don't blame nurses 2) Join a Union 3) Get angry at our unfair system 4) Learn about Class Solidarity don't drag fellow workers down, fight for fair pay for everyone",Poor Pay,3.503194605,5.406862474,-0.780567269,negative,2021-03-05,Original,1426,18,404,1004,Unknown,59599
709,"The rentier capitalism currently dominant in the UK channels ever increasing amounts of income to a minority, whilst the poor and vulnerable find their incomes increasingly depressed. This is immoral & unfair & will generate and exacerbate all kinds of social pathology.",Low Income Families,1.118036165,4.280715508,-1.689120039,negative,2021-09-15,Original,1,0,1,0,Male,2467
559,The hypocrisy of our media your hardship is because all these foreigners coming over here Why can a ballerina get a skilled visa but foreign lorry driver can’t Why is the pressure not on business to answer why it allowed skilled workers to end up on insecure contracts and low pay,Long Hours,2.891547309,4.349932426,-0.754942141,negative,2021-09-24,Original,44,0,14,30,Male,10709
561,"💥 ITS STRIKE TIME 💥 Couriers will be taking action today in response to unfair terminations, poor pay and overhiring. Good to see , preparing for the strike too by trying to offer £1.50 extra per drop to get riders to break strike 😂 THEYRE ALREADY RATTLED! ,",Leaseholding,2.437371683,6.261466277,-1.290067698,negative,2020-11-25,Original,62,0,24,38,Unknown,931
918,I just voted in Parliament against Tory plans to force 1.3 million of the lowest paid workers to start paying income tax. A progressive taxation system should target the super rich not some of the lowest paid. Shamefully the Tory MPs voted it through.,Poor Pay,2.843600297,4.397879438,-0.78262511,negative,2021-03-09,Original,4349,97,1126,3126,Male,126577
710,"Good news: 23 and 24 year olds earning the minimum wage will see a £1,300 annual increase (if working f/t) as they progress to NLW. Bad news: unemployment projected to grow by a million, likely to hit young adults particularly hard. But Kickstart and Restart should help",Minimum Wage Increase,3.699580745,1.962864775,0.287240885,neutral,2020-11-25,Original,3,0,1,2,Unknown,2355
711,"Poor MPs not being paid enough. Obviously, that’s why they have no choice but to be corrupt. Must be so hard for them, my heart is heavy with their pain and hardship 🙄🖕🏼 ,",Poor Pay,1.025774599,4.774135302,-1.884338426,negative,2021-11-05,Original,0,0,0,0,Male,2179
712,"📢🧡♀️💪 Our , Sister Nadine Houghton smashing it on Newsnight. ""Migrant workers don't drive down wages bad government policy and bad bosses do"" TRUTH! ,",Poor Pay,4.056446214,5.643657835,-0.676798724,negative,2021-10-11,Original,21,0,6,15,Female,1993
422,"Careful Keir, Labour's record on finance is not good. And the more you make Employers pay, the more inflation rises and the gains you think you have made ends up being worth nothing.",Pay Rises,5.035782849,2.212596787,0.475828562,positive,2021-08-25,Original,0,0,0,0,Male,0
421,"I had a friend who mocked me ‘cause of my bad English. Now i’m in London, and he.. I have no idea! But one thing I’m sure: we shouldn’t care about what anyone else says, if he don’t pay your bills",Social Care,3.596987749,2.482585843,0.024222473,neutral,2021-01-05,Original,0,0,0,0,Unknown,85
708,"So the low life prime minister , has asked a friend to pay for his child care. The same low life who wanted to deny our children school meals. The same lowlife who gave the heroes in the , a 1% pay rise. I wouldnt piss on this Eton lowlife if he was on fire",Government Support,4.715506376,1.277755617,0.959177602,positive,2021-05-02,Original,5,0,1,4,Unknown,3943
102,Indeed . The facts are that uk nursing pay has been cut by 8.3% since 2010; despite the conservatives trying to somehow convince the country that they are “ getting a pay rise “ . Even the 1% potential rise is below inflation.,House Prices,3.183324539,3.298409579,-0.382087893,negative,2021-03-10,Original,0,0,0,0,Unknown,111
396,"If you really want to sit through all the credits, fine. But please don’t come to my mentions saying so. I spoke from experience how you can make a low paid worker’s shit job a bit more bearable. To tell me straight you won’t do it rubs it in my face that you just don’t care.",Social Care,4.148538695,1.538661899,0.645269419,positive,2021-05-30,Original,19,3,0,16,Unknown,5534
394,"FollowBackFriday if you despise the tories as much as I do, & fear for the future of our country after their UC cut, rising energy bills, NIC increases, public sector real term pay cuts, give me a follow I always follow back like minded people. I enjoy tweeting ministers too!",Public Sector Pay,3.699580745,3.869009801,-0.391352698,negative,2021-10-08,Original,18,1,7,10,Unknown,10082
585,"The UK already has among the highest food insecurity in the developed world, as well as depending on imports for 40% of its food. Sadly it’s the poorest who will pay most and suffer most from the policy of the Tories to make this FoodInsecurity so much worse",Cost of Living,1.895733531,3.837045127,-1.051670311,negative,2020-12-17,Original,1,0,0,1,Female,1605
836,I met one Auxiliary nurse that mocked me that there is no difference between going to school and learning this stuffs in one mushroom hospital! And true true that time Sapa dey battle with soul because of the poor pay I was getting from those hospitals! Special thanks to Covid.,Long Hours,4.196485707,2.944297162,0.007803714,neutral,2021-10-18,Original,49,9,2,38,Unknown,1418
837,"Genius by the Govt really. Pay billions out in furlough to look caring then leak news to media of bullshit shortages, panic buying ensues, prices rise, inflation rises, govt recoups everything plus more in taxes VAT and NI. All in the shadows. We fall for it every fucking time",Pay Rises,2.437371683,3.769610947,-0.78262511,negative,2021-09-25,Original,4,0,0,4,Unknown,940
596,"Financial insecurity is common for most people, especially those who have a lower income. But financial insecurity is not about how much you earn, it’s about your money mindset. Avoid financial insecurity by learning how to trade at , financial investing ,",Low Income Families,2.132700223,4.316675767,-1.051670311,negative,2020-12-23,Original,0,0,0,0,Unknown,0
595,British Gas’ key workers are also being exploited by the S188 Fire and Rehire that should be illegal this day in age. The government needs to outlaw this practice whilst it is at it! We don’t want a pay rise. We just want fairness. stopthebritishgasfire,Poor Pay,3.111404021,2.172262613,0.012731185,neutral,2021-01-11,Original,1,0,0,1,Male,24
594,"I will say it. Fuck you Conservatives RishiSunak Boris inequality remains under your control. Well done for discriminating against the poorest, self employed, minimum wage earners who remained working at risk during Covid. Sick to class myself as british same storm bollocks",Minimum Wage Increase,3.596987749,5.015538612,-0.679017647,negative,2021-03-03,Original,0,0,0,0,Unknown,31
593,"Well. It seems the risk of bad publicity from a court case against someone who has mental health problems spooked them into settling. The Sun pays damages to Ben Stokes over family tragedy story ,",Mental Health,2.132700223,5.442822733,-1.283482514,negative,2021-08-30,Original,1,0,0,1,Unknown,91
838,"The government approach has been constrained by a refusal to accept most of the problems caused by poor regulation, regulatory oversight, and product testing allowing poor construction practices The report accepts making leaseholders pay an attempt to abdicate responsibility",Leaseholding,2.829621813,4.901994001,-0.896072584,negative,2020-11-24,Original,44,0,12,32,Unknown,758
839,I get the wanting to improve the numeracy and literacy of the population. A Tory MP has asked ReesMogg for a debate as he claims 9Million adults have poor skills. ReesMogg says disgraceful. We need to improve this and move people in higher paid work...I suspect many jobs that>>,Poor Pay,3.183324539,2.208222872,0.019164451,neutral,2020-12-17,Original,2,1,0,1,Unknown,696
592,"It is SO much easier to pay off 0% debt. Even if you have to shift it often because of bad credit. I did Virgin for 2years, now with mbna. I'll be shifting again at the end of the 0% just to clear the last bit. 2½ years time the cards will be GONE!",Government Support,4.162028338,1.118036165,0.967855224,positive,2021-03-07,Original,0,0,0,0,Unknown,92
840,"Our pay is terrible, our conditions are poor, our hours are unsociable, and it’s not considered skilled work. I would invite the Secretary of State for Health to spend a week working in a residential care facility and seeing how he hacks it with us.",Poor Pay,1.846394278,3.899359104,-1.094151099,negative,2021-10-22,Original,0,0,0,0,Male,314
841,Pretty sure that nobody really wants higher wages. What they want is more purchasing power. The government will happily shout about increasing wages knowing that most people will see their purchasing power decrease as inflation & price rises hit.,Pay Rises,3.097139298,1.493114684,0.383040958,positive,2021-10-04,Original,1,1,0,0,Unknown,314
591,"This has always been one of my main issues with brexit, the very poorest are going to suffer the most. If you outlay 80/90% of your disposable income on groceries this (combined with the energy price hike and the cut in UC) will be crippling. Its ok for the more well off 😥",Cost of Living,2.437371683,3.769610947,-0.78262511,negative,2021-10-10,Original,8,0,0,8,Male,176
842,"Disgusting lack of duty of care by the Government whose poor building regulations system has led to this problem...they must pay up for the Common Good. , , , , , ,",Leaseholding,2.478469122,3.728513508,-0.754942141,negative,2021-04-12,Original,1,0,0,1,Female,236
843,Imagine living in a country where a member of the royal family decides they want to leave and not get paid for nothing out of tax payers hard earned and then the regular poor people decide to hate his missus for it. Utter madness.,Poor People,1.118036165,4.316675767,-1.697485476,negative,2021-10-27,Original,0,0,0,0,Male,208
590,"All the money & all the evil are related. Until we break the cycle, it will continue. Holding bad people to account and the worlds problems will start to solve themselves. By paying a living wage and taxing high earners the rich will start to be held accountable. It’s a start",Rich People,2.46035501,5.226407552,-1.099992087,negative,2021-05-16,Original,0,0,0,0,Unknown,300
589,i am PHYSICALLY ILL thinking about how hard i worked to get and pay for pit tickets to harry styles and bc of his poor rescheduling i couldn’t go and to help a friend i sold it at lower than face value so i didn’t even make money and lost the experience i’m sick.,Low Income Families,3.358390878,3.539645236,-0.399138143,negative,2021-09-11,Original,3,0,0,3,Female,379
844,We Scottish tories will nevel let our standards and ideals slip. We will always prioritise the rights of the wealthy. Poor and disabled people have had it easy for too long. Let's reduce the minimum wage and increase working week hours. That way more productivity for same money.,Minimum Wage Increase,6.806362504,1.490714887,1.172028452,positive,2021-03-02,Original,3,0,1,2,Unknown,89
588,"This proposed pay rise is simply not fair. But what does 'fair' mean? This is the most comprehensive book on what 'to be fair' really means. ,",Income Tax,2.829621813,1.229220437,0.4871893,neutral,2021-03-05,Original,0,0,0,0,Male,552
845,Salaries in achademia are a joke 32K starting salary while having sacrificed 4 years prior on starvation pay. Pay is also significantly lower than the industry counterparts ... doing what you love is good and all but it doesn't help you pay the bills at the end of the month,Poor Pay,4.978246434,3.956895518,-0.116955641,neutral,2021-06-27,Original,25,2,2,21,Male,45
586,"Brexit deal. More of this poor deal unravelled. UK business pay tariffs, VAT and more to sell to EU. We were told by Boris none! This will ruin many small business. Why did we agree? Maybe to support the big corporations? Yet another let down by the Tories. Time for ReformUK",State Pension,4.569539677,1.99482945,0.482280325,positive,2021-01-18,Original,2,0,1,1,Male,1360
835,"You must plan and strategize, you must value profit not wages, you must be focused and you must be determined if you want good success. *""The worst people on earth to serve are the POOR PEOPLE""* environment WednesdayMotivation Wednesdayvibe ,",Leaseholding,5.916219881,1.277755617,1.186019006,positive,2021-10-27,Original,2,0,1,1,Male,2638
834,"For new businesses & start ups, a little tip from me would be DO NOT use paid ads services until you are financially ready and your business growth is substantial. Little £50100 ads here and there will ruin your algorithms on your social platforms that you worked hard to build.",Wage Growth,4.196485707,2.992244175,-0.008349818,neutral,2021-04-02,Original,1,0,0,1,Unknown,5078
833,"Minister’s planned NHS pay rise labelled ‘pitiful’ by unions A 1 per cent pay rise is the worst kind of insult the government could give health workers’ ,",Public Sector Pay,1.788857864,5.162382497,-1.406394436,negative,2021-03-05,Original,1,0,1,0,Unknown,5285
832,A Pan for Jobs? You mean recruiting inappropriately trained people 2B nurses nurses on the cheap & never mind the risk 2 patients; other low paid jobs with awful working conditions. So sick of Politicians misleading public & mainstream media failing 2 convey the small print,Poor Pay,2.056991314,5.168871138,-1.267983518,negative,2021-05-30,Original,4,0,0,4,Female,11414
715,"""It is clear from the evidence that more funding for education is needed, particularly targeted at children living in poverty, from lowincome areas and those households whose parents have experienced significant earnings losses since the start of the pandemic.""",Low Income Families,4.197988597,2.208222872,0.295843853,neutral,2021-06-08,Original,28,0,7,21,Female,753
723,"What a lie and a joke. Our NI increase is to give back to the government for paying us furlough. The NHS have worked this way before pandemic, snail pace. I do not want to pay this increase, it’s a scam to put it back into government funding.",Mental Health,5.035782849,3.824561765,-0.071448484,neutral,2021-10-06,Original,1,0,0,1,Unknown,22
722,The May local elections are coming along not that Tories care what public think! However local party activists do not want to be harangued about poor NHS primary care services and terrible pay deal. I sense something must be done.#NHSPay,Social Care,2.546659632,1.912280883,-0.060087747,neutral,2021-03-07,Original,0,0,0,0,Male,76
721,"Obvs, Virginia Giuffre will win her civil case by default. Prince Andrew isn't going to visit the US to testify. So a 'paper judgement' worth umpteen million dollars, which will never be paid. Maybe it's more important to her to get her story taken seriously. A bad method imho.",Government Support,4.083817502,1.73781009,0.507832871,positive,2021-08-10,Original,1,1,0,0,Unknown,116
814,"It’s bizarre that Sir David Amess’ terrorist murder is being linked to social media without evidence. Censorship does not stop bad people thinking or doing bad things. But ending online anonymity would seriously threaten privacy. My latest for , ,",Social Care,1.509826748,5.671699302,-1.670067455,negative,2021-10-19,Original,105,3,20,82,Male,10737
815,"Tories love charity, but they don't like the idea of Universal Basic Incomes Tories want the poorest people to live on charity, and they'd love more people to donate to charities but for some reason, they are concerned about rich people, having a few extra quid to donate UBI",Rich People,5.140732137,2.390351103,0.419181658,positive,2021-04-01,Original,8,1,3,4,Male,5678
816,"Parents can receive £500 from the government if the school says their child has to selfisolate. This scheme is offered to parents on a low income, who are unable to work from home and need to take time off work to care for a child who is selfisolating. , ,",Government Support,2.307992848,6.668739675,-1.407626228,negative,2021-03-30,Original,0,0,0,0,Unknown,788
720,"In a pandemic the government begin to pass a bill that takes away peoples right to a peaceful protest, gives healthcare staff a miserable pay rise and plans to increase its nuclear weapons essentially inciting protests. What kind of government does that? The Tory gov that’s who",Public Sector Pay,3.55589031,4.974441173,-0.682281157,negative,2021-03-28,Original,5,1,0,4,Male,134
719,"BBC News The tax fraud merrygoround that cost billions , Legal loopholes and corrupt tax laws made by those who benefit from the rules ensures that crime pays and whilst the poor suffer.",Cost of Living,2.478469122,6.220368838,-1.266761714,negative,2021-10-21,Original,0,0,0,0,Male,291
716,"She does not know and she does not care. Many low paid workers will be paying higher national insurance and lose £20 per week from universal credit as the cost of living crisis hits home. Folk being driven into poverty as a political choice by , and her Government.",Government Support,3.14736428,4.617472854,-0.729855778,negative,2021-10-03,Original,20,1,6,13,Unknown,551
395,"This is how much Republicans DONT CARE, how LOW the GQP governors will go in their political games to HURT, KILL AND DESTROY AMERICANS LIVES by ENDING FREE Pandemic UNEMPLOYMENT FEDERAL FUNDING. Without daycare funds, families are STUCK w/starvation wages ,",Mental Health,2.132700223,5.74361982,-1.337274345,negative,2021-05-21,Original,3,0,1,2,Unknown,6022
575,"The government should understand the plight of the people already suffering on account of the Covid pandemic, rampant unemployment and salary cuts. The increase in petroleum prices will further push them against the wall. PriceHikeRejected",Mental Health,2.096739964,4.316675767,-1.068675458,negative,2021-09-16,Original,61,2,27,32,Unknown,12600
717,"Disingenuous spin from government... ""Nurses want better staffing rather than a pay rise"", says care minister .@Helen_Whately... BUT FIRST you need to ATTRACT & RETAIN nursing staff! , , , SafeStaffingSavesLives FairPayforNursing ,",Social Care,4.715506376,1.277755617,0.959177602,positive,2021-03-26,Original,6,0,2,4,Female,522
577,"Inequality is on the rise, and wages are nearly stagnant. This all came about after the fall in corporate rate of profits in 1970. After the golden age of capitalism, often referred to as embedded liberalism or controlled capitalism. Read more: ,",Mental Health,4.244432719,4.397879438,-0.382087893,negative,2021-05-27,Original,1,0,0,1,Unknown,5639
578,"“This is not money needed to ensure pensions hold their value relative to inflation... Pensions are not set to increase because the economy is booming, but because worker wages were so badly hit at the start of the pandemic”",House Prices,4.244432719,1.490714887,0.699778791,positive,2021-07-07,Original,1,0,0,1,Female,5034
579,"Today our poorest families will lose £1k a year while food & fuel prices rise. Any minimum wage increases won’t reach those who can’t work & will have much less impact on p/t workers, who are mainly women. I guess at least we know what ‘Build Back Better’ means now?",Minimum Wage Increase,3.66761607,1.99482945,0.262409731,neutral,2021-10-06,Original,38,1,9,28,Female,4746
580,"All dinghies and outboards should be auctioned off to US, (with no reserve), the poor SAD SAPS that have to pay housing, benefits, schooling and health care for all these unwanted unasked, unwelcome mendicant bloody parasites!",Mental Health,2.478469122,4.933343734,-1.034949511,negative,2020-12-09,Original,0,0,0,0,Unknown,3009
581,Doesn't half feel like even Keir Starmer's embarrassed by his own 2.1% NHS worker pay increase offer. Given even Emmanuel Macron gave their health workers a 10.0% rises. Jenny McGee bravely presented him an absolute open goal on the subject and he never touched it at PMQs.,Pay Rises,4.162028338,1.118036165,0.967855224,positive,2021-05-20,Original,4,0,2,2,Male,2724
582,According to the Sunday Times the three top tax payers in the UK are in either gambling or booze. Good that they are paying their taxes but isn’t it interesting that they have made their huge profits from our bad habits. Discuss!,State Pension,5.176692396,2.208222872,0.505404667,positive,2021-01-31,Original,1,1,0,0,Male,2694
583,I think high wage high skill economy is an empty Johnson mantra which hides the fact that the ‘low skills’ will still be banded with low wages b/c according to the Tories carers & factory workers don’t deserve a living wage.,Cost of Living,3.300854463,0.923197139,0.927520255,positive,2021-10-07,Original,3,0,1,2,Female,2247
584,"“Would the effect of the pandemic be taken under account during performance management? In these uncertain times it's important to know that especially knowing that your bills will be rising.” Read Robert’s story , winningatwork fairpayforall",Cost of Living,3.55589031,1.318853056,0.645269419,positive,2020-12-05,Original,3,0,1,2,Male,1871
831,"More lies from Johnson about wages going up. Wages are taxed and devalued by inflation. If you get a 5% rise you lose over 20% to tax and National Insurance just increased. If inflation is 4%, it’s actually a WAGE CUT in real terms. He’s just told a raft of lies, as usual.",National Insurance,1.538661899,5.803514702,-1.674124166,negative,2021-10-03,Original,0,0,0,0,Unknown,28298
